hiring abroad: (Philippines),tesda: (Philippines)
7,54
8,52
7,35
6,43
6,46
7,48
6,51
6,42
7,42
8,31
5,21
8,29
11,60
10,61
10,66
13,62
9,66
12,55
11,57
10,76
9,77
10,78
9,70
7,74
11,72
8,79
10,54
13,73
9,70
12,70
6,71
10,72
12,68
13,77
9,69
9,62
10,61
11,58
9,58
9,49
9,55
10,58
10,55
11,59
11,54
10,50
10,54
9,54
8,52
12,51
13,50
9,45
10,45
7,48
9,41
11,57
9,47
8,54
9,39
8,41
8,36
8,34
7,18
10,28
16,52
13,46
13,52
16,62
11,71
10,63
12,55
14,61
12,67
16,89
13,81
12,69
10,56
11,75
14,78
11,70
14,61
11,67
14,75
10,95
13,100
12,98
13,90
10,77
10,76
10,67
11,60
8,61
10,62
11,70
10,65
10,70
11,58
12,72
12,65
12,63
13,66
10,57
12,57
10,61
11,57
10,53
13,55
11,56
12,56
10,48
10,60
11,60
10,49
8,40
7,25
8,26
14,67
13,63
16,70
13,61
15,61
12,61
14,63
14,63
15,65
15,64
14,67
11,46
19,67
11,96
14,81
12,80
13,74
13,68
10,71
13,92
11,78
13,79
14,83
13,83
10,66
12,67
12,66
11,60
11,66
12,56
13,56
11,53
11,55
10,57
11,51
10,55
7,48
9,56
11,53
12,50
10,55
11,51
9,53
10,48
9,55
8,48
8,43
8,43
8,45
8,40
8,23
5,23
12,47
13,55
13,55
9,55
12,59
11,59
11,57
10,53
11,61
11,68
11,65
10,63
12,66
9,61
10,50
15,64
12,66
10,65
10,50
11,57
9,65
9,57
12,66
10,62
13,61
13,61
11,51
12,53
11,51
9,50
11,49
11,56
12,49
10,45
12,38
12,44
11,46
11,49
13,51
10,46
10,51
10,45
11,47
10,34
12,48
7,41
9,53
9,46
8,43
10,36
7,28
7,24
12,51
15,56
11,62
13,59
11,52
11,54
11,47
12,56
12,61
13,52
12,57
13,62
10,45
10,62
11,66
11,63
10,53
11,49
12,57
12,51
11,67
12,67
11,65
13,58
9,64
11,62
11,63
14,66
10,53
11,52
13,50
13,52
12,47
11,48
9,48
10,52
11,42
9,43
9,51
10,45
9,43
