hiring philippines: (Philippines),tesda: (Philippines)
30,54
36,52
32,35
33,43
32,46
31,48
29,51
30,42
26,42
22,31
16,21
29,29
51,60
42,61
47,66
38,62
37,66
36,55
44,57
38,76
42,77
38,78
43,70
43,74
43,72
40,79
33,54
44,73
41,70
45,70
40,71
49,72
49,68
45,77
41,69
48,62
39,61
40,58
46,58
37,49
44,55
39,58
40,55
39,59
37,54
34,50
36,54
35,54
31,52
36,51
39,50
34,45
34,45
33,48
28,41
37,57
34,47
32,54
27,39
24,41
28,36
19,34
14,18
22,28
41,52
39,46
42,52
41,62
39,71
30,63
32,55
35,61
32,67
35,89
37,81
35,69
27,56
42,75
40,78
40,70
39,61
44,67
37,75
47,95
46,100
47,98
38,90
43,77
38,76
37,67
34,60
32,61
36,62
37,70
35,65
35,70
30,58
34,72
34,65
33,63
33,66
27,57
28,57
38,61
36,57
34,53
29,55
33,56
32,56
27,48
26,60
26,60
25,49
22,40
16,25
17,26
36,67
34,63
36,70
30,61
33,61
30,61
29,63
31,63
30,65
30,64
29,67
24,46
34,67
35,96
31,81
36,80
31,74
31,68
26,71
39,92
36,78
39,79
39,83
31,83
34,66
29,67
29,66
31,60
28,66
29,56
31,56
24,53
22,55
22,57
28,51
27,55
23,48
25,56
25,53
25,50
23,55
19,51
25,53
23,48
24,55
25,48
24,43
22,43
21,45
19,40
15,23
14,23
28,47
33,55
26,55
28,55
30,59
25,59
25,57
24,53
27,61
29,68
30,65
29,63
27,66
29,61
18,50
28,64
28,66
27,65
25,50
28,57
26,65
28,57
27,66
29,62
32,61
29,61
24,51
29,53
25,51
26,50
26,49
26,56
27,49
25,45
25,38
25,44
23,46
23,49
26,51
24,46
23,51
19,45
22,47
19,34
22,48
21,41
19,53
19,46
18,43
19,36
13,28
14,24
29,51
28,56
25,62
27,59
24,52
22,54
22,47
23,56
21,61
23,52
23,57
18,62
19,45
25,62
26,66
25,63
23,53
22,49
25,57
20,51
27,67
24,67
25,65
20,58
26,64
26,62
22,63
21,66
20,53
19,52
20,50
20,52
19,47
20,48
20,48
18,52
18,42
19,43
16,51
15,45
17,43
